full_name,repo,description,stars,forks,language,user,name,type,location,lat,long,city,country,rank
Tencent/mars,mars,Mars is a cross-platform network component  developed by WeChat.,5840,912,C++,Tencent,Tencent,Organization,"Shenzhen, China",22.543096,114.05786499999999,Shenzhen,China,1.0
Microsoft/HoloJS,HoloJS,Provides a framework for creating holographic apps using JavaScript and WebGL.,800,38,C++,Microsoft,Microsoft,Organization,"Redmond, WA",47.6739881,-122.12151200000001,Redmond,United States,23.0
TorchCraft/TorchCraft,TorchCraft,Connecting Torch to StarCraft,590,76,C++,TorchCraft,,Organization,,,,,,34.0
antire-book/dont_panic,dont_panic,Linux bind shell with anti-reverse engineering techniques,190,31,C++,antire-book,Programming Linux Anti-Reversing Techniques,User,,,,,,123.5
rescrv/Consus,Consus,Consus is a geo-replicated transactional key-value store.,137,6,C++,rescrv,Robert Escriva,User,"Ithaca, NY",42.4439614,-76.5018807,Ithaca,United States,173.5
Erkaman/auto_uv_map,auto_uv_map,Reference Implementation of Automatic UV Mapping with Harmonic Maps.,107,2,C++,Erkaman,Eric Arnebäck,User,"Sweden, Gothenburg",57.70887,11.97456,Gothenburg,Sweden,209.0
adtac/fssb,fssb,A low-level filesystem sandbox for Linux using syscall intercepts.,264,20,C,adtac,Adhityaa Chandrasekar,User,,,,,,92.0
ronsoros/rvm,rvm,simple virtual machine and assembler,213,13,C,ronsoros,,User,,,,,,110.0
benjamin-42/Trident,Trident,,137,72,C,benjamin-42,Benjamin Randazzo,User,"Paris, France",48.856614,2.3522218999999995,Paris,France,173.5
LineageOS/android_device_oneplus_bacon,android_device_oneplus_bacon,OnePlus One device configuration (bacon),121,7,C,LineageOS,Lineage Android Distribution,Organization,,,,,,187.5
mjosaarinen/dekryptize,dekryptize,"A ncurses animation to make decryption look like, well, decryption. ",120,9,C,mjosaarinen,Markku-Juhani O. Saarinen,User,,,,,,189.0
toddmotto/angular-pizza-creator,angular-pizza-creator,Source code for Angular advanced Form APIs pizza builder,219,43,CSS,toddmotto,Todd Motto,User,"England, UK",52.3555177,-1.1743197,,United Kingdom,106.0
apex/apex-ui,apex-ui,Apex monochrome Atom theme UI.,161,3,CSS,apex,Apex,Organization,Victoria BC,48.428420700000004,-123.36564440000001,Victoria,Canada,152.0
wesbos/JavaScript30,JavaScript30,30 Day Vanilla JS Challenge,3025,1716,HTML,wesbos,Wes Bos,User,"Hamilton, Ontario",43.255720600000004,-79.87110240000001,Hamilton,Canada,5.0
neveragaindottech/neveragaindottech.github.io,neveragaindottech.github.io,Source files for the neveragain.tech site,343,1812,HTML,neveragaindottech,,Organization,,,,,,62.0
codrops/BlockRevealers,BlockRevealers,Ideas for revealing content in a schematic box look as seen around the Web lately.,192,20,HTML,codrops,Codrops,Organization,,,,,,122.0
